User.userIds.userName,initialpassword,User.userIds.primaryEmail,User.userIds.verifiedPrimaryEmail,User.name.familyName,User.name.givenName,User.name.middleName,User.name.honorificPrefix,User.preferredLanguage,User.active,User.gender,User.preferredCommunicationChannel,User.addresses[0].type,User.addresses[0].streetNumber,User.addresses[0].complementStreetNumber,User.addresses[0].streetType,User.addresses[0].streetName,User.addresses[0].complementLocation,User.addresses[0].complementIdentification,User.addresses[0].complementAddress,User.addresses[0].postalCode,User.addresses[0].locality,User.addresses[0].region,User.addresses[0].country
bernier.dorothee6604,bernier.dorothee6604,bernier.dorothee6604@yopmail.com,true,bernier,Dorothée,,Mme,fr,true,F,E,work,5,,place,de Leleu,Batiment 1,,BP 12345,84613,Saint Camille,Saint-Barthélémy,France
faure.danielle7422,faure.danielle7422,faure.danielle7422@yopmail.com,true,faure,Danielle,,Mme,fr,true,F,E,home,37,,place,de Lecomte,Batiment 1,,BP 12345,57978,Julien,Rhone-Alpes,France
lecomte.hugues5880,lecomte.hugues5880,lecomte.hugues5880@yopmail.com,true,lecomte,Hugues,,M,fr,true,M,E,home,1,,chemin,de Petitjean,Batiment 1,,BP 12345,47156,Hervé-sur-Chauvin,Centre,France
renault.charlotte1925,renault.charlotte1925,renault.charlotte1925@yopmail.com,true,renault,Charlotte,,Mme,fr,true,F,E,work,44,,rue,Laurence Bernard,Batiment 1,,BP 12345,33270,Milletboeuf,Limousin,France
bouvet.alfred9739,bouvet.alfred9739,bouvet.alfred9739@yopmail.com,true,bouvet,Alfred,Benoît,M,fr,true,M,E,home,5,ter,rue,Émile Cordier,Batiment 1,,BP 12345,06854,Saint Claire-la-Forêt,Île-de-France,France
pires.louise9751,pires.louise9751,pires.louise9751@yopmail.com,true,pires,Louise,Anne,Mme,fr,true,F,E,work,15,,boulevard,de Coulon,Batiment 1,,BP 12345,57596,Buisson-les-Bains,Poitou-Charentes,France
le-goff.sebastien5753,le-goff.sebastien5753,le-goff.sebastien5753@yopmail.com,true,le goff,Sébastien,Nicolas,M,fr,true,M,E,work,322,,place,Dorothée Courtois,Batiment 1,,BP 12345,15579,Grenier,Pays-de-Loire,France
huet.laurent1383,huet.laurent1383,huet.laurent1383@yopmail.com,true,huet,Laurent,,M,fr,true,M,E,work,640,,rue,de Garnier,Batiment 1,,BP 12345,15155,Saint Alicedan,Nouvelle-Calédonie,France
andre.laetitia1104,andre.laetitia1104,andre.laetitia1104@yopmail.com,true,andre,Laetitia,Capucine,Mme,fr,true,F,E,home,405,ter,avenue,de Lebrun,Batiment 1,,BP 12345,90566,Torresdan,Corse,France
guillou.robert1732,guillou.robert1732,guillou.robert1732@yopmail.com,true,guillou,Robert,Michel,M,fr,true,M,E,work,651,,place,Philippine Bigot,Batiment 1,,BP 12345,44115,Guicharddan,Alsace,France
collet.francois7369,collet.francois7369,collet.francois7369@yopmail.com,true,collet,François,,M,fr,true,M,E,work,6,,boulevard,de Dijoux,Batiment 1,,BP 12345,74689,GautierVille,Nouvelle-Calédonie,France
muller.sebastien7122,muller.sebastien7122,muller.sebastien7122@yopmail.com,true,muller,Sébastien,Frédéric,M,fr,true,M,E,home,184,,boulevard,Susanne Laroche,Batiment 1,,BP 12345,26544,Thomasdan,Nord-Pas-de-Calais,France
louis.benjamin1614,louis.benjamin1614,louis.benjamin1614@yopmail.com,true,louis,Benjamin,,M,fr,true,M,E,home,40,quater,avenue,Suzanne Jacques,Batiment 1,,BP 12345,13385,Diallo,Guadeloupe,France
olivier.guillaume9271,olivier.guillaume9271,olivier.guillaume9271@yopmail.com,true,olivier,Guillaume,Émile,M,fr,true,M,E,home,52,,place,Martine Maillard,Batiment 1,,BP 12345,54556,Mary-la-Forêt,Saint-Martin,France
